title,description,instructions,type,mobile,width,height,url,game_id,iframe_url,embed_code,thumb
Ping Pong Battle Table Tennis,"Want to have an intense table tennis battle? In Ping Pong Battle - Table Tennis, you will become a ping pong pro and compete with your opponents in a fierce competition! This game combines realistic paddle manipulation with exciting match simulation.","Mouse click or tap to play
",html5,false,750,1334,https://html5.gamedistribution.com/abfc6a4196ec42ecb69493eec9a229f9/,abfc6a4196ec42ecb69493eec9a229f9,https://html5.gamedistribution.com/abfc6a4196ec42ecb69493eec9a229f9/,"<iframe src=""https://html5.gamedistribution.com/abfc6a4196ec42ecb69493eec9a229f9/"" width=""750"" height=""1334"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/abfc6a4196ec42ecb69493eec9a229f9-512x384.jpg
Serious Head,"Prepare to defend yourself. Purchase defensive structures, recharge your energy and fight off waves of monsters. Kill bosses and upgrade weapons. Complete the final day and close the portals!","WASD = move
Left mouse button = shoot
Right mouse button = iron sight
Mouse wheel or 1-6 = change weapons
Space = jump",html5,true,800,600,https://html5.gamedistribution.com/72819ef0b4404b5a8d9bd4530f34938a/,72819ef0b4404b5a8d9bd4530f34938a,https://html5.gamedistribution.com/72819ef0b4404b5a8d9bd4530f34938a/,"<iframe src=""https://html5.gamedistribution.com/72819ef0b4404b5a8d9bd4530f34938a/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/72819ef0b4404b5a8d9bd4530f34938a-1280x550.jpg
Cooking Stories: Fun cafe game,"Become the host of the popular transformation cooking show — Cooking Stories! You are not just a chef, you are a culinary genius, a style master, and an interior designer. Participants come to you at their most desperate moment: they urgently need help — and only you can change and save their lives!

But that’s not all...  
Take a peek behind the scenes of the TV show: intrigue, emotions, unexpected twists — all this in the game Cooking Stories!","With each new character, you will acquire a café or restaurant and their house or apartment, which will require your management and culinary skills. Manage the character and serve guests in a timely manner! Transform the appearance of each character and their home!

Choose trendy makeup.
Determine the appropriate style. 
Organize a stylish interior. ",html5,false,800,600,https://html5.gamedistribution.com/a7c0a9b6245c4726ae5f841e32586ea9/,a7c0a9b6245c4726ae5f841e32586ea9,https://html5.gamedistribution.com/a7c0a9b6245c4726ae5f841e32586ea9/,"<iframe src=""https://html5.gamedistribution.com/a7c0a9b6245c4726ae5f841e32586ea9/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/a7c0a9b6245c4726ae5f841e32586ea9-200x120.jpg
Geometry Wave Hero,"Geometry Wave Hero is an exciting rhythm-based game that takes players on a thrilling journey through a vibrant color world. This game offers a unique twist on the classic Geometry Dash formula, focusing exclusively on the wave game mode. Players must navigate their wave through a series of challenging obstacles, using simple one-touch mechanics to control its movement.
","The game features ten increasingly difficult levels, each accompanied by its own unique rhythm music that adds to the immersive experience.

Easy to understand;
Nice and addictive gameplay;
Rythm platform adventure;
Awesome HD Graphics;
Challenging levels ,

Use the mouse or touch to play",html5,false,800,600,https://html5.gamedistribution.com/392a2a937de749e3afeb31cbbca053d6/,392a2a937de749e3afeb31cbbca053d6,https://html5.gamedistribution.com/392a2a937de749e3afeb31cbbca053d6/,"<iframe src=""https://html5.gamedistribution.com/392a2a937de749e3afeb31cbbca053d6/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/392a2a937de749e3afeb31cbbca053d6-512x384.jpg
Fly Fly Fly,"Fly Fly Fly is a Flappy Bird alike game, where you have to fly through 30 different levels, avoiding obstacles an collecting berries. 
If you hit the ground it will be game over, if you crash on one of the earth worms around the level, you will lose a life. If you lost all your lives, it's game over. You can restore your health collecting the berries you will find around the level. Do your best and beat all the 30 levels and show the world what you really are!    ",Tap or Click to fly,html5,false,640,360,https://html5.gamedistribution.com/96ab76bfdfbd472aad509cc7b278d8ce/,96ab76bfdfbd472aad509cc7b278d8ce,https://html5.gamedistribution.com/96ab76bfdfbd472aad509cc7b278d8ce/,"<iframe src=""https://html5.gamedistribution.com/96ab76bfdfbd472aad509cc7b278d8ce/"" width=""640"" height=""360"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/96ab76bfdfbd472aad509cc7b278d8ce-512x512.jpg
Stick Hero Fight,"Enter the most nervous stickman battles. In Stick Hero Fight, you as a mighty stickman hero. Fight through waves of enemies using incredible battle skills. This action game lets you upgrade your hero and unleash devastating attacks to dominate every fight! Use punches, weapons, and powerful skills to deliver deadly attacks.","Mouse click or tap to play
",html5,false,1334,750,https://html5.gamedistribution.com/a05999d05dec449887e6a7144545665d/,a05999d05dec449887e6a7144545665d,https://html5.gamedistribution.com/a05999d05dec449887e6a7144545665d/,"<iframe src=""https://html5.gamedistribution.com/a05999d05dec449887e6a7144545665d/"" width=""1334"" height=""750"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/a05999d05dec449887e6a7144545665d-512x384.jpg
Rotate Rings - Circle Puzzle,"Rotate Rings - Circle Puzzle: Twist Your Mind!
Welcome to Rotate Rings, the ultimate circle puzzle challenge!
Your mission is simple: rotate the rings to align the colors or images correctly.
As you progress, the puzzles get trickier, testing your strategy and problem-solving skills.",Drag to rotation,html5,false,800,600,https://html5.gamedistribution.com/344e3b84ab7844a5a590a72c7b596c45/,344e3b84ab7844a5a590a72c7b596c45,https://html5.gamedistribution.com/344e3b84ab7844a5a590a72c7b596c45/,"<iframe src=""https://html5.gamedistribution.com/344e3b84ab7844a5a590a72c7b596c45/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/344e3b84ab7844a5a590a72c7b596c45-512x384.jpg
Panda Lu Treehouse,"Hey, animal lovers! Enter the enchanting world of Panda Lu's Tree House, a super fun casual simulator that will warm your heart. In this game, you play as the caretaker of the adorable panda Lu. Your adventure begins by building a magnificent tree house, a cozy and vibrant home for your furry friend.","Mouse click or tap to play
",html5,false,1334,750,https://html5.gamedistribution.com/fc3ce1599d374f1f9c9586a1fdfaa316/,fc3ce1599d374f1f9c9586a1fdfaa316,https://html5.gamedistribution.com/fc3ce1599d374f1f9c9586a1fdfaa316/,"<iframe src=""https://html5.gamedistribution.com/fc3ce1599d374f1f9c9586a1fdfaa316/"" width=""1334"" height=""750"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/fc3ce1599d374f1f9c9586a1fdfaa316-512x384.jpg
Shoot Run Monster Hunting,"Welcome to the interesting parkour world of Shoot Run: Monster Hunting! In this challenging game,you will be a brave shooter. Run, collect, fight and shoot all kinds of scary monsters, show your courage and skill! Enjoy running in a variety of scenarios, challenging speed and agility.","Mouse click or tap to play
",html5,false,720,1280,https://html5.gamedistribution.com/59a47721876344f386d546a2c26a9e42/,59a47721876344f386d546a2c26a9e42,https://html5.gamedistribution.com/59a47721876344f386d546a2c26a9e42/,"<iframe src=""https://html5.gamedistribution.com/59a47721876344f386d546a2c26a9e42/"" width=""720"" height=""1280"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/59a47721876344f386d546a2c26a9e42-512x384.jpg
Meme challenge.io,"""Meme Challenge.io"" is straight-up chaos.
It’s you vs. the wildest, most unhinged character names ever like Spaghetti Tualetti and Bombardino Crocodilo. Tap fast, think faster, and don’t get caught slippin’. It’s giving brain-lag.
Only real ones can vibe their way to the Wcup.
",Choose the correct answer / Use provided controls,html5,false,1280,720,https://html5.gamedistribution.com/26f7528ce46f432da71a87d5851a1649/,26f7528ce46f432da71a87d5851a1649,https://html5.gamedistribution.com/26f7528ce46f432da71a87d5851a1649/,"<iframe src=""https://html5.gamedistribution.com/26f7528ce46f432da71a87d5851a1649/"" width=""1280"" height=""720"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/26f7528ce46f432da71a87d5851a1649-512x384.jpg
Wood Block Jam,"Wood Block Jam is a vibrant, addictive puzzle game where you slide colored blocks to matching doors. 

Swipe and slide through hundreds of creatively designed levels, featuring arrow blocks, layer blocks, freeze blocks, lock blocks, and more. 

Plan your moves to overcome barriers and clear each board using the fewest moves. 

With intuitive controls, smooth animations, and mind-bending challenges from easy to extreme, Wood Block Jam delivers endless brain-teasing fun! ","✅ Swipe & Slide – Move blocks in any direction.
? Match Colors – Guide each block to its matching exit.
? Avoid Obstacles – Navigate barriers and tricky layouts.
? Plan Your Moves – Think ahead to clear the board efficiently.",html5,false,800,600,https://html5.gamedistribution.com/678f54b0c203460b8f8916a239a28bff/,678f54b0c203460b8f8916a239a28bff,https://html5.gamedistribution.com/678f54b0c203460b8f8916a239a28bff/,"<iframe src=""https://html5.gamedistribution.com/678f54b0c203460b8f8916a239a28bff/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/678f54b0c203460b8f8916a239a28bff-512x384.jpg
World War 2 Shooter,World War 2 Shooter is a new first person shooter where you can become a real soldier of World War 2 and fight against enemies! Defeat foes in dynamic battles and be a hero on the battlefield!,"Keyboard: 
WASD  
G for grenade  
H for use first aid kit  
C for squat 
M1 for aim 
M2 for shooting 
SPACE for jump 
ESC for menu 
SCROLL WHEEL for change weapon.",html5,false,1280,720,https://html5.gamedistribution.com/5b0d2de3a13a4b6a81b70b6d6768aa7e/,5b0d2de3a13a4b6a81b70b6d6768aa7e,https://html5.gamedistribution.com/5b0d2de3a13a4b6a81b70b6d6768aa7e/,"<iframe src=""https://html5.gamedistribution.com/5b0d2de3a13a4b6a81b70b6d6768aa7e/"" width=""1280"" height=""720"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/5b0d2de3a13a4b6a81b70b6d6768aa7e-512x384.jpg
Obby Survive Parkour,"Obby Survivor Parkour is a fast-paced 3D parkour and escape game designed for players who trust their reflexes. You will test both your speed and balance skills while trying to survive in the obstacle filled course!

Each section is full of new traps and platforms that will challenge you even more. Try to survive tsunami waves, obstacle courses, lava attacks, snowball storms and red light green light game and reach the finish line.  Can you be one of the few who can reach the end of the course?","PLAYER 1:
Movement: ""W,A,S,D""
Jump: ""SPACE""
Double Jump: ""SPACE + SPACE""
Freeze: ""Q""
Bomb: ""E""
Acceleration: ""F""

PLAYER 2:
Movement: ""ARROW KEYS""
Jump: ""J""
Double Jump: ""J + J""
Freeze: ""H""
Bomb: ""K""
Acceleration: ""L""

Touch controls will be automatically activated on mobile devices such as tablets and phones.",html5,false,960,600,https://html5.gamedistribution.com/9423ba1c5c0847998ae6bbae78ba4c91/,9423ba1c5c0847998ae6bbae78ba4c91,https://html5.gamedistribution.com/9423ba1c5c0847998ae6bbae78ba4c91/,"<iframe src=""https://html5.gamedistribution.com/9423ba1c5c0847998ae6bbae78ba4c91/"" width=""960"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/9423ba1c5c0847998ae6bbae78ba4c91-512x384.jpg
Pentaword,"Guess the hidden five-letter word in just six tries! Use logic, spelling, and word skills in this brain teaser. Can you crack the Pentaword?","Your goal is to guess the hidden 5-letter word in 6 tries or less.
After each guess, the tiles will change color to show how close your guess was:

Green – Correct letter in the correct spot

Yellow – Correct letter in the wrong spot

Gray – Letter not in the word

Use your keyboard to type letters or click on the on-screen keyboard.
Press Enter to submit a guess and Backspace to delete a letter.
",html5,false,600,800,https://html5.gamedistribution.com/81bde7bd26f744c5ba3aa1fa45d2d7b4/,81bde7bd26f744c5ba3aa1fa45d2d7b4,https://html5.gamedistribution.com/81bde7bd26f744c5ba3aa1fa45d2d7b4/,"<iframe src=""https://html5.gamedistribution.com/81bde7bd26f744c5ba3aa1fa45d2d7b4/"" width=""600"" height=""800"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/81bde7bd26f744c5ba3aa1fa45d2d7b4-512x384.jpg
Zombie Shooting King,"The apocalypse is here! Hordes of zombies are swarming the streets. You are the last line of defense. Grab your gun, sharpen your shooting skills, and unleash unstoppable firepower to survive. Shoot fuel tanks, airdrops, and more to get more firepower to destroy tons of zombies. Get diamonds to upgrade your talents like Guardrail, ATK Boost, Crit Rate, or Coin earning!","Mouse click or tap to play
",html5,false,750,1334,https://html5.gamedistribution.com/505a6808388d4967a82e141f956bcc13/,505a6808388d4967a82e141f956bcc13,https://html5.gamedistribution.com/505a6808388d4967a82e141f956bcc13/,"<iframe src=""https://html5.gamedistribution.com/505a6808388d4967a82e141f956bcc13/"" width=""750"" height=""1334"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/505a6808388d4967a82e141f956bcc13-512x384.jpg
Woody Tap Block,"Woody Tap Block is an addictive puzzle game where you have to use logical thinking to move and remove wooden blocks in the right direction. With simple yet challenging mechanics, the game offers a relaxing yet engaging experience.
Plan your moves in the correct order to clear all the blocks.
As you progress through levels, the puzzles become more challenging with new obstacles and block types to overcome.
","Tap on the wooden blocks to remove them from the board — but only if they're not blocked by other pieces.
Each block can move only in the direction shown by its arrow, so think carefully before tapping!
The higher the level, the more difficult the challenge with different types of obstacles.",html5,false,800,600,https://html5.gamedistribution.com/a258b00fef084b75b0f628374c0fd97e/,a258b00fef084b75b0f628374c0fd97e,https://html5.gamedistribution.com/a258b00fef084b75b0f628374c0fd97e/,"<iframe src=""https://html5.gamedistribution.com/a258b00fef084b75b0f628374c0fd97e/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/a258b00fef084b75b0f628374c0fd97e-512x384.jpg
Celebrity Aesthetic Challenge,"Celebrity Aesthetic Challenge lets you explore a range of unique celebrity-inspired styles! Compete in fun fashion challenges as you mix and match outfits, accessories, and hairstyles to recreate iconic looks. From E-girl and Soft-girl vibes to edgy streetwear and glam red carpet ensembles, showcase your creativity and win the ultimate fashion battle. Can you rise to the challenge and become the trendsetting fashion icon? Let the style showdown begin!",left mouse button click,html5,false,800,600,https://html5.gamedistribution.com/6fd73d15bf6d4d668b7fa5e5e4409761/,6fd73d15bf6d4d668b7fa5e5e4409761,https://html5.gamedistribution.com/6fd73d15bf6d4d668b7fa5e5e4409761/,"<iframe src=""https://html5.gamedistribution.com/6fd73d15bf6d4d668b7fa5e5e4409761/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/6fd73d15bf6d4d668b7fa5e5e4409761-512x384.jpg
Table Tennis Open,"Discover a casual, easy-to-play game for hours of endless fun. Face off against your opponent, bounce the ball as its speed increases, and aim for the highest score. Earn coins with each hit to upgrade your racket!
","This classic table tennis game lets players bounce the ball to score points and earn coins for racket upgrades. As the game progresses, the ball's speed increases. Choose from 21 rackets and explore 5 unique environments, each offering its own challenges and excitement.
",html5,false,800,600,https://html5.gamedistribution.com/4ffc798ffa08450fa23ceb8935f0ae6d/,4ffc798ffa08450fa23ceb8935f0ae6d,https://html5.gamedistribution.com/4ffc798ffa08450fa23ceb8935f0ae6d/,"<iframe src=""https://html5.gamedistribution.com/4ffc798ffa08450fa23ceb8935f0ae6d/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/4ffc798ffa08450fa23ceb8935f0ae6d-512x384.jpg
Gemstone Glam,"Welcome to the fabulous world filled with sparkling gems! Here you will meet two princess girlfriends who adore fashionable outfits and the glitter of colorful stones in fashionable outfits. Try on dresses inspired by the radiance of a diamond, the passion of a ruby, the freshness of an emerald and the mystery of an amethyst. Create shining combinations of hairstyles, dresses and accessories to transform young princesses into real fashion queens. Feel like a real stylist of the jewelry kingdom!","Help two girlfriends create a fabulous look with luxurious dresses decorated with precious stones, crystals and rhinestones. You can save the most interesting images at the end of the game as PNG images. Depending on the gaming device, either a click of a computer mouse or a simple touch on touchscreens is used to control it.",html5,false,800,600,https://html5.gamedistribution.com/545999659d244efc9fa2d4bb3eeb7c38/,545999659d244efc9fa2d4bb3eeb7c38,https://html5.gamedistribution.com/545999659d244efc9fa2d4bb3eeb7c38/,"<iframe src=""https://html5.gamedistribution.com/545999659d244efc9fa2d4bb3eeb7c38/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/545999659d244efc9fa2d4bb3eeb7c38-512x384.jpg
Rent out - Landlord Tycoon,"In this captivating world of landlord games, you'll start with a modest property portfolio and a dream to become the ultimate real estate and house tycoon. Your goal is to buy, sell, and manage properties to maximize your profits and become a successful business and house tycoon in this rent game. Whether it's residential apartments, commercial complexes, or luxurious villas, it's your chance to be rich in this rent game.
","Immerse yourself in the world of real estate
Build & manage your property empire, from residential apartments to luxurious villas
Collect massive rents in this rent game
",html5,false,800,600,https://html5.gamedistribution.com/a9510755f8ab4663a75f67f4f8727ab3/,a9510755f8ab4663a75f67f4f8727ab3,https://html5.gamedistribution.com/a9510755f8ab4663a75f67f4f8727ab3/,"<iframe src=""https://html5.gamedistribution.com/a9510755f8ab4663a75f67f4f8727ab3/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/a9510755f8ab4663a75f67f4f8727ab3-512x512.jpg
